Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
WW | NZ | Brand,Brand - Waterwell,Responsive search ad,https://waterwellclinic.co.nz/nz,Waterwell Clinic NZ,Waterwell Naturopath,"Kohei Iguchi, Naturopath",Book Waterwell Clinic Online,10+ Years Of Consultations,32 Five-Star Google Reviews,10+ Years In Skin Health,"Skin, Gut & Hormone Care",Free 15-Min Discovery Call,"Book Direct, No Waitlist",Official Waterwell Clinic Site,Waterwell Naturopathy Consults,Consults By Secure Video,"Consults Online, NZ-Wide",Same Practitioner Every Visit,"Waterwell Clinic - Kohei Iguchi's naturopathy practice. Skin, gut and hormone care.","Kohei Iguchi, naturopath. 32 five-star reviews and 10+ years in practice.","Book straight off the calendar. Consults by secure video, no waitlist, no forms first.","Start with a free 15-minute discovery call. No obligation, no pressure to commit.",waterwell,clinic
WW | NZ | Skin Conditions,Rosacea,Responsive search ad,https://waterwellclinic.co.nz/conditions/rosacea,Rosacea Naturopath NZ,Rosacea Natural Treatment,Rosacea Trigger Naturopath,Facial Redness Naturopath,Trigger-Focused Rosacea Care,Naturopathy For Skin Health,"Real Reviews, All 5-Star","10+ Years, Hands-On Experience",Lab Kits Delivered Home,Supports What Your GP Does,Have A Free Chat First,Book Your Rosacea Consult,"Meet Online, Securely","Rosacea Naturopath, NZ-Wide",Your Own Tailored Skin Plan,"Rosacea support that looks at gut, diet and trigger factors, not just the redness.","Ten years working with rosacea and skin health. By secure video, NZ-wide.",Works alongside your GP or dermatologist. Free 15-minute discovery call to start.,"32 five-star reviews. Lab testing posted to your door, real data behind your plan.",online,rosacea
WW | NZ | Skin Conditions,Skin Infections,Responsive search ad,https://waterwellclinic.co.nz/conditions/skin-infections,Naturopath For Skin Infections,Recurring Skin Infections Help,Chronic Hives Naturopath NZ,Naturopath For Urticaria,What's Driving Your Immunity,A Naturopath For Skin,"5 Stars, 32 Reviews Strong",A Decade Treating Skin,Testing Done From Home,Alongside Your Doctor's Care,No-Charge Discovery Call,Book Your Skin Consult,Face-To-Face By Video,"Skin Naturopath, NZ-Wide",A Plan For Your Immunity,Skin infections or hives that keep coming back? Support for what's driving it.,"More than ten years of skin consultations. By secure video, right across NZ.","Works alongside your GP or dermatologist. Free 15-minute call, no pressure, to start.","32 five-star reviews. Lab tests posted to your door, real data, not guesswork.",online,skin
WW | AU | Online Naturopath,Online Naturopath Consult AU,Responsive search ad,https://waterwellclinic.co.nz/au,Online Naturopath Australia,Naturopath Consultation Online,10+ Years In Practice,Same Practitioner Each Visit,Rated Five Stars 32 Times,Consults By Secure Video,32 Five-Star Client Reviews,10+ Years In This Field,Works With Your Existing Care,Free Chat Before You Book,Book A Naturopath Online,Naturopath Video Consultation,Consults Across Australia,"One Practitioner, By Video",Book Your Free Chat Today,"Full naturopathic consultations by secure video, wherever you are in Australia.",32 five-star Google reviews and more than a decade of consulting experience.,Works alongside your existing GP care. A root-cause approach to your health.,"A free, relaxed 15-minute discovery call comes first, no pressure, no obligation.",australia,online
WW | AU | Online Naturopath,General Naturopathy AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath Online Australia,"Online Naturopath, Australia",A Decade In Practice,Works Alongside Your GP,"One Naturopath, All AU","Book Direct, No Waitlist",Rated 5 Stars By 32 Clients,Practising 10+ Years,Complements Your Current Care,A Relaxed Free 15-Min Call,Book An Online Consultation,Whole-Body Naturopathy,Online Video Consultations,No Local Clinic Needed,Book Your Naturopath Session,"Naturopathic consultations by secure video, wherever you are in Australia.",32 five-star Google reviews and more than ten years of consulting experience.,"A whole-body approach, not just the symptom in front of you. Works with your GP.","First step: a free 15-minute discovery call. No pressure, no obligation either way.",australia,naturopath
WW | AU | Online Naturopath,Gut & Digestive Health AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/gut-health,Naturopath For Gut Health,Discuss Bloating & Digestion,"IBS Support, Australia",Discuss Gut & Digestion,32 Five-Star Google Reviews,No Clinic Visit Required,"32 Google Reviews, 5 Stars",10+ Years Helping Patients,Fits Around Your Current Care,Book Your Free Discovery,Book A Gut Health Consult,Alongside Your Current Care,"Secure Video, From Home","Personalised, Not Generic",Book Your Discovery Call,"Book an online consultation to discuss bloating, IBS or digestion, Australia-wide.","A full consultation to talk through your digestion, by secure video.","A root-cause naturopath, working alongside your existing GP care.","Begin with a free 15-minute chat about your health. No pressure, no obligation.",australia,gut
WW | AU | Online Naturopath,Hormones & Women's Health AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/hormones,Naturopath For Hormones,Discuss PMS & Cycle Health,Perimenopause Support Online,"Women's Health, Australia-Wide",Ten Years Of Consulting,"Online, Wherever You Are",A Genuine 5-Star Reputation,A Decade Of Clinical Work,Works Alongside Your Doctor,Free 15 Minutes To Talk,Book A Hormone Health Consult,Same Practitioner Throughout,"Video Calls, Fully Private","One-On-One, Unhurried Care",See A Naturopath This Week,"Book an online consultation to discuss hormones, cycles or menopause, Australia-wide.","More than ten years in practice, with 32 five-star Google reviews.","One-on-one, unhurried care, a plan built around your cycle, not a template.","A free 15-minute discovery call starts things off, no pressure either way.",australia,hormones
WW | AU | Online Naturopath,Fatigue & Energy AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/fatigue,Naturopath For Fatigue,Discuss Burnout & Energy,Adrenal Support Online,Naturopath For Low Energy,"One Practitioner, Throughout","Video Consults, Australia-Wide","5-Star Rated, 32 Reviews","10+ Years, Same Practitioner",Adds To Your Existing Care,Your First Call Is Free,Book A Fatigue Consult,Works With Your Current Care,"Video Chats, Fully Secure",A Session Just For You,Start With A Free 15 Minutes,"Book an online consultation to discuss fatigue, burnout or low energy, Australia-wide.","32 five-star Google reviews. Consultations by secure video, booked direct.","Works alongside your existing GP care, looking at what's driving the fatigue.","15 free minutes, no obligation, a relaxed first chat about how you're feeling.",australia,fatigue
WW | AU | Skin Conditions,Eczema AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/eczema,Naturopath For Eczema,Discuss Your Eczema Online,Eczema-Gut-Immune Link,"Adult Eczema, Discussed",A Decade In Skin Health,"Secure Video, Your Own Home",32 Verified 5-Star Reviews,Over A Decade Practising,Discuss Your Skin One-On-One,Sits Alongside Your GP Care,"Free, No-Pressure First Chat",Book An Eczema Consultation,Not Instead Of Your Doctor,"Video Consults, AU-Wide",Book Your Free Call Today,"Book a consultation to discuss your eczema, by secure video, across Australia.","Look past the skin, discuss the gut and immune links behind eczema. Australia-wide.",Start with a free 15-minute discovery call. No pressure and no obligation.,Works alongside the care you already have with your GP.,australia,eczema
WW | AU | Skin Conditions,TSW AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/tsw,TSW Naturopath Online,Discuss Steroid Withdrawal,Red Skin Syndrome Support,Going Through TSW? Talk To Us,Ten Years On Skin Cases,Appointments That Fit Work,5 Stars From 32 Patients,"10+ Years, One Practitioner",TSW Taken Seriously,Works With Your Treatment,15 Free Minutes To Start,Book A TSW Consultation,Your GP Stays In The Loop,"Unhurried, One-On-One Care","Patience, Not A Quick Fix","Going through topical steroid withdrawal? Talk to a naturopath, Australia-wide.","A relaxed, free 15-minute discovery call first, no pressure, no obligation.","More than ten years of skin consultations, delivered by secure video.","Unhurried consultations that take your full story into account, alongside your care.",australia,tsw
WW | AU | Skin Conditions,Psoriasis AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/psoriasis,Naturopath For Psoriasis,Discuss Psoriasis Online,Diet & Immune Factors,"Scalp Psoriasis, Discussed",Experienced In Skin Cases,Straight Onto The Calendar,Our 32 Five-Star Reviews,A Decade Of Consults,A Whole-Body Approach,Alongside Your Treatment Too,Book A Free Intro Call,Book A Psoriasis Consultation,Complements Your Medical Care,"Online Video, Australia-Wide",Book A Telehealth Consult,"Book a consultation to discuss psoriasis, by secure video, Australia-wide.","Discuss the immune and lifestyle factors behind flare-ups, whole-body, not topical.","Free 15-minute discovery call first, then a full consultation if it suits.","10+ years experience, works alongside your current dermatologist or GP care.",australia,psoriasis
WW | AU | Skin Conditions,Acne AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/acne,Naturopath For Acne,Discuss Acne Online,"Hormonal Acne, Discussed",Adult Acne Naturopath,Ten Years Of Skin Consults,"Online Consults, Booked Direct","Rated Five Stars, 32 Times","10+ Years, Steady Care",Hormonal & Gut Factors,Complements Your Treatment,A Free First Conversation,Book An Acne Consultation,Fits Around Your GP Care,"Consults By Video, AU-Wide",Book Your Online Session,"Book a consultation to discuss acne, adult or hormonal, Australia-wide.","Discuss the hormonal and gut factors behind breakouts, whole-body, not topical.",Book a consultation to discuss your skin. Free 15-minute discovery call first.,"10+ years experience, works alongside your current dermatologist or GP care.",australia,acne
WW | AU | Skin Conditions,Rosacea AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/rosacea,Naturopath For Rosacea,Discuss Rosacea Online,"Facial Redness, Discussed",Rosacea Trigger Support,Skin-Focused Consultations,Consult From Your Own Home,32 Five-Star Reviews Online,10+ Years On The Job,"Trigger Factors, Discussed",Complements Your Doctor,A Free Chat To Start,Book A Rosacea Consultation,Sits Beside Your GP Care,"Meet Online, Australia-Wide",Schedule An Online Consult,"Book a consultation to discuss rosacea and its triggers, Australia-wide.","Discuss the gut, stress and lifestyle triggers behind flare-ups, not just redness.",A free 15-minute discovery call to talk it through before you commit to anything.,"10+ years experience, works alongside your current dermatologist or GP care.",australia,rosacea
WW | AU | Skin Conditions,Skin Infections AU,Responsive search ad,https://waterwellclinic.co.nz/conditions/skin-infections,Recurring Skin Infections,Discuss Skin Concerns Online,"Chronic Hives, Discussed",Why It Keeps Recurring,Over Ten Years In Skin,No Referral Needed,"32 Reviews, 5 Stars Each",A Decade Behind Us,A Root-Cause Approach,Alongside Your Own Doctor,"No Cost, No Pressure Call",Book A Skin Consultation,Works With Your GP's Plan,"Secure Video, Australia-Wide",Book A Video Consultation,"Book a consultation to discuss recurring skin infections or hives, Australia-wide.","Discuss the immune factors behind concerns that keep recurring, not just one-off.",Free 15-minute discovery call first. Consultations booked straight off the calendar.,"10+ years experience, works alongside your current dermatologist or GP care.",australia,skin
