Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
WW | NZ | Brand,Brand - Waterwell,Responsive search ad,https://waterwellclinic.co.nz/nz,Waterwell Clinic,Waterwell Naturopathy,"Kohei Iguchi, Naturopath",Online Naturopath Consults,Eczema & Skin Specialists,Free 15-Min Discovery Call,Book A Free Online Session,32 Five-Star Reviews,10+ Years In Natural Health,Consults By Secure Video,Root-Cause Natural Care,A Plan Built Only For You,He Beat Eczema Himself,"No Waiting Room, No Travel",Book Your Free Discovery,Waterwell Clinic - online naturopathy and skin health with Kohei Iguchi. Book free.,"Start with a free 15-minute discovery call, straight off the calendar.","Root-cause care for eczema, TSW, psoriasis and acne. 32 five-star reviews.","Consults by secure video, wherever you are in New Zealand.",official,book
WW | NZ | Skin Conditions,Rosacea,Responsive search ad,https://waterwellclinic.co.nz/conditions/rosacea,Naturopath For Rosacea,Online Rosacea Care,Natural Rosacea Support,"Calm Rosacea, Naturally",Free 15-Min Discovery Call,Root-Cause Skin Care,10+ Years In Skin Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Natural, Root-Cause Care","Online, root-cause naturopathy for rosacea. Same depth, by video. Book free.","10+ years in skin health, treating the cause, not just the redness. NZ-wide.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Consults by secure video across New Zealand. Start with a free 15-minute chat.,online,rosacea
WW | NZ | Skin Conditions,Skin Infections,Responsive search ad,https://waterwellclinic.co.nz/conditions/skin-infections,Naturopath For Skin Issues,Recurring Skin Infections,Online Skin Naturopathy,Natural Skin Support,Free 15-Min Discovery Call,Root-Cause Skin Care,10+ Years In Skin Health,A Plan Built Just For You,Consults By Secure Video,"Online, NZ-Wide",32 Five-Star Reviews,"No Waiting Room, No Travel",Book Your Free Discovery,Qualified Naturopath,"Natural, Root-Cause Care","Support for recurring skin infections and flare-ups. Root-cause naturopathy, online.","10+ years in skin health, looking at what keeps causing flare-ups. NZ-wide by video.","A relaxed 15-minute discovery call, no pressure. Then a plan built only for you.",Consults by secure video across New Zealand. Start with a free 15-minute chat.,online,skin
WW | AU | Online Naturopath,Online Naturopath Consult AU,Responsive search ad,https://waterwellclinic.co.nz/au,Online Naturopath Consults,See A Naturopath By Video,Online Across Australia,Book A Free Discovery Call,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Practice,A Plan Built Around You,"No Waiting Room, No Travel",Consults By Secure Video,Delivered Online From NZ,Personalised Health Plans,A Root-Cause Approach,"One-On-One, Unhurried Care",Book An Online Consultation,"Naturopathic consultations by secure video, Australia-wide. Delivered online from NZ.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years in practice. A plan built around you.,"Book a consultation to discuss your health, from the comfort of home.",australia,online
WW | AU | Online Naturopath,General Naturopathy AU,Responsive search ad,https://waterwellclinic.co.nz/au,Online Naturopath Australia,NZ-Registered Naturopath,See A Naturopath By Video,"Naturopathy, Whole Health",Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Practice,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Naturopathic consultations by secure video, Australia-wide. Delivered online from NZ.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years in practice. A plan built around you.,"Book a consultation to discuss your health, from the comfort of home.",australia,naturopath
WW | AU | Online Naturopath,Gut & Digestive Health AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Gut Health,Online Digestive Support,Discuss Bloating & Gut Health,NZ-Registered Naturopath,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Practice,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss digestion and gut health, Australia-wide.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years in practice. A plan built around you.,"Consultations by secure video, delivered online from New Zealand.",australia,gut
WW | AU | Online Naturopath,Hormones & Women's Health AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Hormones,Online Hormone Support,Discuss PMS & Cycle Health,Menopause Support Online,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Practice,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss hormones, cycles or menopause. Australia-wide.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years in practice. A plan built around you.,"Consultations by secure video, delivered online from New Zealand.",australia,hormones
WW | AU | Online Naturopath,Fatigue & Energy AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Fatigue,Online Energy Support,Discuss Low Energy Online,Tired All The Time?,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Practice,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss fatigue and low energy, Australia-wide.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years in practice. A plan built around you.,"Consultations by secure video, delivered online from New Zealand.",australia,fatigue
WW | AU | Skin Conditions,Eczema AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Eczema,Online Eczema Consultations,"Support For Eczema, Online",Discuss Your Eczema Online,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Book A Free Discovery Call,Delivered Online From NZ,"Book an online consultation to discuss your eczema. Secure video, Australia-wide.","A relaxed, free 15-minute discovery call first. No pressure, no obligation.",A qualified NZ naturopath with 10+ years working with skin concerns. Online from NZ.,"Personalised, one-on-one support for your skin, from the comfort of home.",australia,eczema
WW | AU | Skin Conditions,TSW AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For TSW Support,Topical Steroid Withdrawal,"Support Through TSW, Online",Discuss TSW With A Naturopath,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Book A Free Discovery Call,Delivered Online From NZ,Personalised Support Plans,"Book an online consultation to discuss topical steroid withdrawal. Video, Australia-wide.","Start with a free 15-minute discovery call. No pressure, no obligation.","One-on-one support from a qualified NZ naturopath, delivered online from NZ.",Unhurried consultations that take your full story into account. From home.,australia,tsw
WW | AU | Skin Conditions,Psoriasis AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Psoriasis,Online Psoriasis Support,Discuss Psoriasis Online,NZ-Registered Naturopath,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss psoriasis, by secure video across Australia.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years working with skin concerns. Online from NZ.,"Personalised, one-on-one support for your skin, from the comfort of home.",australia,psoriasis
WW | AU | Skin Conditions,Acne AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Acne,Online Acne Support,Discuss Acne Online,"Hormonal Acne, Discussed",Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss acne, by secure video across Australia.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years working with skin concerns. Online from NZ.,"Personalised, one-on-one support for your skin, from the comfort of home.",australia,acne
WW | AU | Skin Conditions,Rosacea AU,Responsive search ad,https://waterwellclinic.co.nz/au,Naturopath For Rosacea,Online Rosacea Support,Discuss Rosacea Online,NZ-Registered Naturopath,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss rosacea, by secure video across Australia.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years working with skin concerns. Online from NZ.,"Personalised, one-on-one support for your skin, from the comfort of home.",australia,rosacea
WW | AU | Skin Conditions,Skin Infections AU,Responsive search ad,https://waterwellclinic.co.nz/au,Recurring Skin Concerns,Online Skin Support,Discuss Skin Concerns Online,NZ-Registered Naturopath,Free 15-Min Discovery Call,Qualified NZ Naturopath,10+ Years In Skin Health,A Plan Built Around You,Consults By Secure Video,Online Across Australia,A Root-Cause Approach,"One-On-One, Unhurried Care","No Waiting Room, No Travel",Delivered Online From NZ,Book An Online Consultation,"Book an online consultation to discuss recurring skin concerns, Australia-wide.","Start with a free 15-minute discovery call. No pressure, no obligation.",A qualified NZ naturopath with 10+ years working with skin concerns. Online from NZ.,"Personalised, one-on-one support for your skin, from the comfort of home.",australia,skin
